ind;bloc;focal;treatment;hybridity;linetype;focalweight;mateweight;layingdays;selfedbeforepairingF;clutchesF;eggsF;viableeggsF;quicomptelesoeufs;babiesF;unhatchedF;whocountsbabiesF;qualityF;correctedeggsf;layingdaysA;clutchesA;eggsA;viableeggsA;whocountseggsA;PbabiesA;AbabiesA;PunhachedA;AunhatchedA;unknownunhatchedA;whocountsbabiesA;correctedeggsA
342;B;P342;F2;NH;F;86;51;4;no;5;142;142;SM;22;120;SM;0;142;4;5;60;60;SM;0;6;0;48;1;AS;60
343;B;P343;M1;NH;M;122;52;4;no;4;138;138;AS;64;67;AS;0;138;4;4;19;19;SM;0;9;0;10;0;SM;19
344;B;P344;T2;NH;T;51;69;4;no;7;126;126;AS;84;19;AS;0;126;4;8;92;92;SM;23;41;1;14;0;SM;92
345;B;P345;HT;H;T;107;48;4;no;5;199;199;AS;32;161;AS;0;199;4;4;58;58;SM;7;4;30;14;3;SM;58
346;B;P346;T1;NH;T;93;59;4;no;0;0;0;AS;0;;;;0;4;5;72;72;SM;16;0;38;11;1;SM;72
347;B;P347;HM;H;M;149;43;4;no;4;139;139;AS;49;85;AS;0;139;4;4;38;38;SM;3;5;13;17;0;SM;38
348;B;P348;F1;NH;F;80;56;4;no;6;143;143;AS;19;85;AS;0;143;4;6;74;74;SM;19;0;31;4;6;SM;74
349;B;P349;M2;NH;M;93;48;4;no;3;161;161;AS;85;50;AS;0;161;4;4;67;67;SM;2;19;0;44;2;SM;67
350;B;P350;HF;H;F;;;;;;;;;;;;;;0;;;;;;;;;;;
351;B;P351;F2;NH;F;74;39;4;no;6;155;155;AS;86;31;AS;0;155;4;4;63;63;SM;0;14;2;43;0;SM;63
352;B;P352;M1;NH;M;132;49;4;no;4;149;149;AS;66;52;AS;0;149;4;4;64;64;SM;0;5;0;50;9;SM;64
353;B;P353;T2;NH;T;84;41;4;no;6;212;212;AS;83;86;AS;0;212;4;4;44;44;SM;16;2;15;2;5;SM;44
354;B;P354;HT;H;T;154;49;4;no;5;175;175;AS;79;39;AS;0;175;4;6;68;68;SM;2;38;1;4;0;SM;68
355;B;P355;T1;NH;T;86;50;4;no;3;86;86;AS;42;14;AS;0;86;4;6;57;57;SM;28;3;4;7;0;SM;57
356;B;P356;HM;H;M;178;37;4;no;3;218;218;AS;63;93;AS;0;218;4;4;62;62;SM;0;0;0;62;0;SM;62
357;B;P357;F1;NH;F;85;35;4;no;9;161;161;AS;76;60;AS;0;161;4;4;44;44;SM;0;0;0;37;4;SM;44
358;B;P358;M2;NH;M;99;52;4;no;4;228;228;AS;87;110;AS;0;228;4;5;75;75;SM;11;13;8;14;4;SM;75
359;B;P359;HF;H;F;101;50;4;no;4;145;145;AS;81;28;AS;0;145;4;6;82;82;SM;0;36;0;39;1;SM;82
360;B;P360;F2;NH;F;75;54;4;no;6;130;130;AS;58;29;AS;0;130;4;8;98;98;SM;0;46;2;27;0;SM;98
361;B;P361;M1;NH;M;100;45;4;no;7;135;135;AS;70;21;AS;0;135;4;1;25;25;SM;3;3;5;12;2;SM;25
362;B;P362;T2;NH;T;33;35;4;no;4;67;67;AS;34;1;AS;0;67;4;2;15;15;SM;0;0;0;15;0;SM;15
363;B;P363;HT;H;T;62;38;4;no;5;107;107;AS;23;72;AS;0;107;4;4;45;45;SM;0;0;19;21;5;SM;45
364;B;P364;T1;NH;T;86;41;4;no;3;123;123;AS;110;3;AS;0;123;4;6;63;63;SM;21;1;29;4;2;SM;63
365;B;P365;HM;H;M;115;45;4;no;5;185;185;AS;74;47;AS;0;185;4;7;68;68;SM;31;18;10;7;1;SM;68
366;B;P366;F1;NH;F;125;45;4;no;9;204;204;AS;115;10;AS;0;204;4;7;65;65;SM;8;17;12;26;2;SM;65
367;B;P367;M2;NH;M;105;45;4;no;4;145;145;AS;109;19;AS;0;145;4;7;67;67;SM;16;23;6;19;0;SM;67
368;B;P368;HF;H;F;68;54;4;no;6;131;131;AS;77;34;AS;0;131;4;6;72;72;SM;0;19;0;42;0;SM;72
369;B;P369;F2;NH;F;110;38;4;no;5;222;222;AS;131;44;AS;0;222;4;6;75;75;SM;1;23;0;23;3;SM;75
370;B;P370;M1;NH;M;113;48;4;no;4;115;115;AS;88;11;AS;0;115;4;6;71;71;SM;4;3;25;20;1;SM;71
371;B;P371;T2;NH;T;96;66;4;yes;8;145;120;AS;62;20;AS;0;120;4;7;86;86;SM;38;2;30;5;3;SM;86
