"Gen","Treatment","Replicate","Contest","Vial","Red","Brown"
"70","MLSDa","1","104","5",50,95
"70","MLSDa","1","104","6",31,46
"70","MLSDa","1","127","1",20,33
"70","MLSDa","1","127","2",26,31
"70","MLSDa","1","127","3",28,45
"70","MLSDa","1","127","4",24,36
"70","MLSDa","1","127","5",33,35
"70","MLSDa","1","127","6",14,22
"70","MLSDa","3","16","1",40,47
"70","MLSDa","3","16","2",24,30
"70","MLSDa","3","16","3",41,53
"70","MLSDa","3","16","4",40,42
"70","MLSDa","3","16","5",31,53
"70","MLSDa","3","16","6",16,33
"70","MLSDa","3","40","1",34,22
"70","MLSDa","3","40","2",21,37
"70","MLSDa","3","40","3",24,30
"70","MLSDa","3","40","4",33,42
"70","MLSDa","3","40","5",17,21
"70","MLSDa","3","40","6",41,40
"70","MLSDa","3","64","1",32,47
"70","MLSDa","3","64","2",21,56
"70","MLSDa","3","64","3",24,50
"70","MLSDa","3","64","4",30,36
"70","MLSDa","3","64","5",29,50
"70","MLSDa","3","64","6",34,49
"70","MLSDa","3","88","1",19,49
"70","MLSDa","3","88","2",31,46
"70","MLSDa","3","88","3",38,50
"70","MLSDa","3","88","4",35,44
"70","MLSDa","3","88","5",30,40
"70","MLSDa","3","88","6",41,48
"70","MLSDa","3","112","1",45,55
"70","MLSDa","3","112","2",18,33
"70","MLSDa","3","112","3",14,25
"70","MLSDa","3","112","4",22,43
"70","MLSDa","3","112","5",43,53
"70","MLSDa","3","112","6",21,39
"70","MLSDa","3","134","1",28,24
"70","MLSDa","3","134","2",46,38
"70","MLSDa","3","134","3",47,49
"70","MLSDa","3","134","4",22,22
"70","MLSDa","3","134","5",41,49
"70","MLSDa","3","134","6",53,53
"70","MLSDa","5","24","1",39,72
"70","MLSDa","5","24","2",44,79
"70","MLSDa","5","24","3",44,73
"70","MLSDa","5","24","4",47,63
"70","MLSDa","5","24","5",34,59
"70","MLSDa","5","24","6",36,48
"70","MLSDa","5","48","1",47,36
"70","MLSDa","5","48","2",55,42
"70","MLSDa","5","48","3",43,47
"70","MLSDa","5","48","4",57,39
"70","MLSDa","5","48","5",48,33
"70","MLSDa","5","48","6",46,49
"70","MLSDa","5","72","1",10,11
"70","MLSDa","5","72","2",18,21
"70","MLSDa","5","72","3",39,31
"70","MLSDa","5","72","4",33,19
"70","MLSDa","5","72","5",25,26
"70","MLSDa","5","72","6",33,18
"70","MLSDa","5","96","1",32,29
"70","MLSDa","5","96","2",24,30
"70","MLSDa","5","96","3",35,33
"70","MLSDa","5","96","4",27,32
"70","MLSDa","5","96","5",20,23
"70","MLSDa","5","96","6",31,31
"70","MLSDa","5","120","1",21,60
"70","MLSDa","5","120","2",35,59
"70","MLSDa","5","120","3",45,75
"70","MLSDa","5","120","4",36,48
"70","MLSDa","5","120","5",38,65
"70","MLSDa","5","120","6",24,28
"70","MLSDa","5","142","1",29,38
"70","MLSDa","5","142","2",40,41
"70","MLSDa","5","142","3",56,44
"70","MLSDa","5","142","4",41,33
"70","MLSDa","5","142","5",30,27
"70","MLSDa","5","142","6",44,48
"70","MLSD","1","6","1",20,25
"70","MLSD","1","6","2",27,26
"70","MLSD","1","6","3",16,29
"70","MLSD","1","6","4",31,38
"70","MLSD","1","6","5",53,35
"70","MLSD","1","6","6",22,28
"70","MLSD","1","30","1",36,58
"70","MLSD","1","30","2",39,54
"70","MLSD","1","30","3",22,35
"70","MLSD","1","30","4",33,7
"70","MLSD","1","30","5",42,55
"70","MLSD","1","30","6",39,47
"70","MLSD","1","54","1",58,83
"70","MLSD","1","54","2",39,59
"70","MLSD","1","54","3",87,106
"70","MLSD","1","54","4",73,149
"70","MLSD","1","54","5",42,70
"70","MLSD","1","54","6",49,90
"70","MLSD","1","78","1",18,10
"70","MLSD","1","78","2",20,12
"70","MLSD","1","78","3",28,16
"70","MLSD","1","78","4",15,17
"70","MLSD","1","78","5",33,24
"70","MLSD","1","78","6",30,17
"70","MLSD","1","102","1",34,37
"70","MLSD","1","102","2",24,27
"70","MLSD","1","102","3",16,20
"70","MLSD","1","102","4",27,35
"70","MLSD","1","102","5",26,26
"70","MLSD","1","102","6",39,37
"70","MLSD","1","125","1",39,38
"70","MLSD","1","125","2",58,64
"70","MLSD","1","125","3",42,39
"70","MLSD","1","125","4",31,64
"70","MLSD","1","125","5",43,59
"70","MLSD","1","125","6",36,61
"70","MLSD","3","14","1",26,21
"70","MLSD","3","14","2",14,33
"70","MLSD","3","14","3",36,36
"70","MLSD","3","14","4",31,44
"70","MLSD","3","14","5",37,60
"70","MLSD","3","14","6",22,52
"70","MLSD","3","38","1",26,44
"70","MLSD","3","38","2",26,38
"70","MLSD","3","38","3",59,74
"70","MLSD","3","38","4",21,34
"70","MLSD","3","38","5",32,33
"70","MLSD","3","38","6",26,18
"70","MLSD","3","62","1",29,24
"70","MLSD","3","62","2",28,38
"70","MLSD","3","62","3",24,30
"70","MLSD","3","62","4",42,62
"70","MLSD","3","62","5",23,34
"70","MLSD","3","62","6",26,39
"70","MLSD","3","86","1",47,40
"70","MLSD","3","86","2",48,38
"70","MLSD","3","86","3",40,48
